clf,dataset_name,dataset_type,auc,manhattan_projection-fixed-max_n,max_n
RISF,21_Lymphography,numerical,0.9651,1.0,1
RISF,21_Lymphography,numerical,1.0,1.0,1
RISF,21_Lymphography,numerical,0.9767,1.0,1
RISF,21_Lymphography,numerical,0.9767,1.0,1
RISF,21_Lymphography,numerical,1.0,1.0,1
RISF,21_Lymphography,numerical,1.0,1.0,1
RISF,21_Lymphography,numerical,1.0,1.0,1
RISF,21_Lymphography,numerical,0.9767,1.0,1
RISF,21_Lymphography,numerical,0.8837,1.0,1
RISF,21_Lymphography,numerical,0.9651,1.0,1
RISF,21_Lymphography,numerical,0.9767,2.0,2
RISF,21_Lymphography,numerical,0.9535,2.0,2
RISF,21_Lymphography,numerical,0.9767,2.0,2
RISF,21_Lymphography,numerical,1.0,2.0,2
RISF,21_Lymphography,numerical,1.0,2.0,2
RISF,21_Lymphography,numerical,1.0,2.0,2
RISF,21_Lymphography,numerical,1.0,2.0,2
RISF,21_Lymphography,numerical,1.0,2.0,2
RISF,21_Lymphography,numerical,0.9767,2.0,2
RISF,21_Lymphography,numerical,0.9651,2.0,2
RISF,21_Lymphography,numerical,0.9884,3.0,3
RISF,21_Lymphography,numerical,0.9767,3.0,3
RISF,21_Lymphography,numerical,0.9767,3.0,3
RISF,21_Lymphography,numerical,1.0,3.0,3
RISF,21_Lymphography,numerical,1.0,3.0,3
RISF,21_Lymphography,numerical,0.9884,3.0,3
RISF,21_Lymphography,numerical,1.0,3.0,3
RISF,21_Lymphography,numerical,0.9884,3.0,3
RISF,21_Lymphography,numerical,0.9651,3.0,3
RISF,21_Lymphography,numerical,0.9651,3.0,3
RISF,21_Lymphography,numerical,0.9884,5.0,5
RISF,21_Lymphography,numerical,0.9884,5.0,5
RISF,21_Lymphography,numerical,0.9651,5.0,5
RISF,21_Lymphography,numerical,1.0,5.0,5
RISF,21_Lymphography,numerical,1.0,5.0,5
RISF,21_Lymphography,numerical,1.0,5.0,5
RISF,21_Lymphography,numerical,1.0,5.0,5
RISF,21_Lymphography,numerical,1.0,5.0,5
RISF,21_Lymphography,numerical,0.9767,5.0,5
RISF,21_Lymphography,numerical,0.9884,5.0,5
RISF,21_Lymphography,numerical,0.9767,0.25,4
RISF,21_Lymphography,numerical,1.0,0.25,4
RISF,21_Lymphography,numerical,0.9767,0.25,4
RISF,21_Lymphography,numerical,1.0,0.25,4
RISF,21_Lymphography,numerical,1.0,0.25,4
RISF,21_Lymphography,numerical,1.0,0.25,4
RISF,21_Lymphography,numerical,1.0,0.25,4
RISF,21_Lymphography,numerical,0.9884,0.25,4
RISF,21_Lymphography,numerical,0.9884,0.25,4
RISF,21_Lymphography,numerical,0.9535,0.25,4
RISF,21_Lymphography,numerical,0.9884,0.5,9
RISF,21_Lymphography,numerical,0.9767,0.5,9
RISF,21_Lymphography,numerical,0.9651,0.5,9
RISF,21_Lymphography,numerical,1.0,0.5,9
RISF,21_Lymphography,numerical,1.0,0.5,9
RISF,21_Lymphography,numerical,1.0,0.5,9
RISF,21_Lymphography,numerical,1.0,0.5,9
RISF,21_Lymphography,numerical,1.0,0.5,9
RISF,21_Lymphography,numerical,0.9884,0.5,9
RISF,21_Lymphography,numerical,0.9535,0.5,9
RISF,21_Lymphography,numerical,0.9884,0.75,13
RISF,21_Lymphography,numerical,0.9767,0.75,13
RISF,21_Lymphography,numerical,0.9535,0.75,13
RISF,21_Lymphography,numerical,1.0,0.75,13
RISF,21_Lymphography,numerical,0.9535,0.75,13
RISF,21_Lymphography,numerical,1.0,0.75,13
RISF,21_Lymphography,numerical,1.0,0.75,13
RISF,21_Lymphography,numerical,1.0,0.75,13
RISF,21_Lymphography,numerical,0.9535,0.75,13
RISF,21_Lymphography,numerical,0.9651,0.75,13
RISF,21_Lymphography,numerical,0.9767,1.0,18
RISF,21_Lymphography,numerical,0.9767,1.0,18
RISF,21_Lymphography,numerical,0.9535,1.0,18
